word|distractors
594|panacea|['spanghew', 'paracosm', 'pangram', 'puce', 'ploce']
595|panglossian|['kalopsia', 'idioglossia', 'ascian', 'palliation', 'talisman']
596|pangram|['anorak', 'plangent', 'pariah', 'panacea', 'rastrum']
597|panjandrum|['barathrum', 'pangram', 'spandrel', 'parvenu', 'ananke']
598|panoply|['anorak', 'janky', 'spanogyny', 'agnosy', 'pangram']
599|panopticon|['peroration', 'poltroon', 'panoply', 'palliation', 'pastiche']
600|paracosm|['paroxysm', 'parcae', 'panacea', 'tarantism', 'anacronym']
601|paralambdacism|['paracosm', 'katabasis', 'psittacism', 'armamentarium', 'malapropism']
602|paralogize|['adonize', 'paracosm', 'sabrage', 'tarantism', 'gargalesis']
603|paramnesia|['paresthesia', 'akrasia', 'panacea', 'gargalesis', 'paracosm']
604|paraprosdokian|['panglossian', 'pareidolia', 'paramnesia', 'parergon', 'paralambdacism']
605|parcae|['pariah', 'darkle', 'ploce', 'puce', 'carcanet']
606|parciloquy|['pareidolia', 'poecilonym', 'accismus', 'parergon', 'pariah']
607|pareidolia|['parciloquy', 'anhedonia', 'eidolon', 'paresthesia', 'parergon']
608|parergon|['argot', 'poltroon', 'harrow', 'farrago', 'peroration']
609|paresthesia|['paramnesia', 'pareidolia', 'aesthete', 'hyperthymia', 'lachesis']
610|pariah|['parcae', 'riparian', 'parvenu', 'vernal', 'pangram']
611|paroxysm|['paracosm', 'aptronym', 'bruxism', 'spanogyny', 'wegotism']
612|parthian shot|['pariah', 'pastiche', 'palliation', 'palimpsest', 'paracosm']
613|parvenu|['parcae', 'pariah', 'corbeau', 'lambent', 'pendent']
614|pastiche|['rusticate', 'putsch', 'costive', 'pariah', 'masstige']
615|peccadillo|['mercurial', 'descanso', 'seraglio', 'sicario', 'scintilla']
616|pecksniffian|['pessimal', 'percontation', 'persnickety', 'panglossian', 'elision']
617|peculate|['ululate', 'decimate', 'prolate', 'arcuate', 'recusant']
618|pediment|['pendent', 'redolent', 'exigent', 'feculent', 'plangent']
619|pegamoid|['telamon', 'seraglio', 'sangfroid', 'pugil', 'sapid']
620|pendent|['plangent', 'pediment', 'parvenu', 'opulent', 'exigent']
621|penetralia|['cineraria', 'exergasia', 'pareidolia', 'aphantasia', 'panacea']
622|penumbra|['demure', 'inure', 'knurl', 'tempera', 'euchre']
623|percontation|['peroration', 'jactitation', 'pernoctate', 'felicitation', 'palliation']
624|perendinate|['pernoctate', 'serendipity', 'porpentine', 'prevaricate', 'recondite']
625|pernoctate|['prolate', 'perendinate', 'persnickety', 'lemniscate', 'cenotaph']
626|peroration|['percontation', 'embrocation', 'erudition', 'palliation', 'lucubration']
627|persiflage, noun|['pusillanimous', 'perspicacious', 'melliferous', 'percontation', 'mellifluous']
628|persnickety|['pernoctate', 'felicity', 'apricity', 'seersucker', 'pastiche']
629|perspicacious|['meretricious', 'pomaceous', 'pusillanimous', 'percontation', 'lascivious']
630|pessimal|['aestival', 'dissemble', 'decimate', 'prebuttal', 'opsimath']
631|petrichor|['vellichor', 'terrior', 'pastiche', 'plethora', 'tetchy']
632|pettyfogger|['vestige', 'demagogue', 'petrichor', 'etiology', 'lethologica']
633|phantasmagoria|['aphantasia', 'paramnesia', 'anosognosia', 'chitosemidori', 'thanatosis']
634|philalethist|['phlebotomist', 'hiraeth', 'milquetoast', 'illeism', 'hypaethral']
635|philodox|['pilcrow', 'eidolon', 'ploce', 'cyclogon', 'halcyon']
636|phlebotomist|['henotheism', 'philalethist', 'tidsoptimist', 'phobophobia', 'milquetoast']
637|phobophobia|['aibohphobia', 'hypophora', 'apophenia', 'nyctophilia', 'hypegiaphobia']
638|phthisic|['luthier', 'lothario', 'agathism', 'orphic', 'sophism']
639|phynnodderee|['cynosure', 'banneret', 'nithered', 'anodyne', 'threnody']
640|pilcrow|['harrow', 'poltroon', 'pluton', 'pleroma', 'halcyon']
641|plangent|['pendent', 'lambent', 'pediment', 'parvenu', 'languor']
642|pleonastic|['pegamoid', 'pastiche', 'snaste', 'alastor', 'peroration']
643|pleroma|['plethora', 'ploce', 'omerta', 'pilcrow', 'zeugma']
644|plethora|['pleroma', 'pluton', 'anaphora', 'clotho', 'aleatory']
645|ploce|['puce', 'fluke', 'lour', 'kloof', 'tope']
646|pluton|['alazon', 'albion', 'plethora', 'futz', 'telamon']
647|pluviophile|['ailurophile', 'limacine', 'ripple', 'pourparler', 'luthier']
0|poché|['ploce', 'puce', 'roué', 'louche', 'roscid']
648|podunk|['crunt', 'lacuna', 'lour', 'cafuné', 'poché']
649|poecilonym|['contronym', 'parciloquy', 'anacronym', 'endonym', 'poltroon']
650|poltroon|['lagoon', 'pilcrow', 'polyptoton', 'parergon', 'pleroma']
19|polychotomy|['psychopomp', 'polyptoton', 'polytely', 'teleonomy', 'polysemous']
651|polylemma|['analemma', 'trilemma', 'polysemant', 'polysemous', 'polytely']
652|polysemant|['polysemous', 'polylemma', 'polytely', 'volitant', 'covenant']
653|polysemous|['polysemant', 'polylemma', 'eponymous', 'pomaceous', 'polytely']
654|polytely|['polylemma', 'comely', 'prolate', 'rockery', 'polysemant']
655|pomaceous|['polysemous', 'fugacious', 'ocellus', 'panacea', 'obelus']
656|popinjay|['moiety', 'sophistry', 'epiphany', 'apophenia', 'polytely']
657|porpentine|['tontine', 'vespertine', 'nepenthe', 'perendinate', 'peroration']
658|potvaliancy|['koalang', 'dalliance', 'scapulimancy', 'oscitancy', 'mottainai']
659|pourparler|['parcae', 'burgher', 'nonpareil', 'aureate', 'torpor']
660|prebuttal|['preux', 'pessimal', 'brumal', 'plethora', 'penumbra']
661|preux|['roué', 'calx', 'imbue', 'droog', 'frass']
662|prevaricate|['rusticate', 'imbricate', 'perendinate', 'vellicate', 'parcae']
663|proclivity|['propinquity', 'apricity', 'felicity', 'prolate', 'emollient']
5|prolate|['peculate', 'ululate', 'evolute', 'arcuate', 'isolato']
664|promontory|['prosody', 'provender', 'monopsony', 'propinquity', 'atramentous']
665|propinquity|['popinjay', 'proclivity', 'apricity', 'promontory', 'parciloquy']
666|propreantepenultimate|['proprioception', 'porpentine', 'figura serpentinata', 'propinquity', 'ultimate']
667|proprioception|['peroration', 'percontation', 'embrocation', 'ratiocination', 'horripilation']
668|prosody|['brood', 'roscid', 'orison', 'droog', 'threnody']
669|provender|['scrivener', 'promontory', 'covenant', 'pendent', 'prosody']
670|psithurism|['psittacism', 'asterism', 'sitzkrieg', 'dystheism', 'sophism']
671|psittacism|['psithurism', 'asterism', 'paracosm', 'illeism', 'sophism']
672|psychopomp|['polychotomy', 'cyclogon', 'atropos', 'hypophora', 'poché']
673|puce|['ploce', 'fug', 'dulcet', 'tope', 'sic']
674|pugil|['gigil', 'puce', 'squail', 'fug', 'ravin']
675|pulchritudinous|['nullibiquitous', 'pusillanimous', 'perspicacious', 'lascivious', 'uxorious']
676|pulviscular|['crepuscular', 'jentacular', 'alnaschar', 'uvula', 'pugil']
677|pusillanimous|['fusillade', 'perspicacious', 'bilious', 'insalubrious', 'polysemous']
678|putsch|['puce', 'pluton', 'ploce', 'pastiche', 'futz']
679|pyrrhic|['orphic', 'xeric', 'poché', 'bucolic', 'menhir']
680|qua|['rta', 'quean', 'fug', 'roué', 'lour']
681|quaintrelle|['bagatelle', 'spandrel', 'scintilla', 'umbrella', 'chantpleure']
682|quean|['qua', 'augean', 'quiff', 'wheal', 'bumf']
683|quercine|['suzerain', 'serein', 'limacine', 'furtive', 'querencia']
684|querencia|['quercine', 'serein', 'querulous', 'quean', 'limerence']
685|querulous|['sedulous', 'saeculum', 'jumentous', 'ferule', 'telos']
686|quiff|['bumf', 'reify', 'quean', 'qua', 'squirl']
687|quincunx|['quisling', 'quercine', 'quiff', 'verecund', 'quean']
688|quintessential|['querencia', 'tumescent', 'canescent', 'guttersnipe', 'cognoscenti']
689|quisling|['nibling', 'quincunx', 'quercine', 'aniline', 'koalang']
690|quockerwodger|['sockdolager', 'lückenbüßer', 'quercine', 'nickelodeon', 'rockery']
691|raison d'etre|['raisonneur', 'recondite', 'aesthete', 'roulette', 'snaste']
692|raisonneur|"[""raison d'etre"", 'seigneur', 'noceur', 'orison', 'rastrum']"
693|rannygazoo|['languor', 'alazon', 'parergon', 'farrago', 'panacea']
694|rasputitsa|['pastiche', 'tarantism', 'rastrum', 'maieutic', 'abulia']
695|rastrum|['barathrum', 'pangram', 'asterism', 'gestalt', 'alastor']
696|ratatouille|['reptatorial', 'bagatelle', 'autogolpe', 'paralogize', 'tartuffe']
697|ratiocination|['felicitation', 'humicubation', 'embrocation', 'jactitation', 'palliation']
698|ravin|['cairn', 'sapid', 'serein', 'albion', 'riparian']
699|recalcitrant|['recusant', 'volitant', 'emollient', 'complaisant', 'cairn']
700|recherce|['rockery', 'hachure', 'euchre', 'recrudesce', 'churly']
701|recidivist|['ecdysiast', 'amnicolist', 'invidious', 'proclivity', 'redolent']
702|recondite|['recusant', 'conflate', 'costive', 'becoming', 'evolute']
703|recrudesce|['recherce', 'recondite', 'deliquesce', 'cadence', 'ferrule']
704|recusant|['feculent', 'redolent', 'gisant', 'esculent', 'peculate']
705|redolent|['feculent', 'pediment', 'eidolon', 'emollient', 'pendent']
706|reify|['oofy', 'quiff', 'mellify', 'waft', 'xeric']
707|reptatorial|['riparian', 'ratatouille', 'pariah', 'ethereal', 'hypaethral']
708|riparian|['pariah', 'nihilarian', 'parcae', 'cimmerian', 'ravin']
709|ripple|['inure', 'rivulose', 'darkle', 'mettle', 'gigil']
710|rivulose|['ripple', 'niveous', 'uvula', 'eidolon', 'evolute']
711|rockery|['recherce', 'noceur', 'comely', 'trumpery', 'moiety']
712|roman a clef|['manicule', 'mooncalf', 'panacea', 'ratatouille', 'comminate']
713|ropography|['holograph', 'cacography', 'rockery', 'apocryphal', 'cenotaph']
714|roscid|['brood', 'poché', 'roué', 'sic', 'ravin']
7|roulette|['oubliette', 'ululate', 'opulent', 'aureate', 'prolate']
715|roué|['lour', 'oofy', 'rta', 'doxy', 'droog']
716|rta|['ort', 'qua', 'omerta', 'roué', 'futz']
717|rusticate|['aestivate', 'ultimate', 'vellicate', 'pastiche', 'titivate']
718|sabrage|['faldage', 'farrago', 'saudade', 'aureate', 'upbraid']
719|sacrosanct|['carcanet', 'saprogenic', 'recusant', 'dalliance', 'aurulent']
720|saeculum|['sedulous', 'manicule', 'peculate', 'obelus', 'temul']
892|samizdat|['sapid', 'talisman', 'saudade', 'lambent', 'mordant']
721|sangfroid|['languor', 'pegamoid', 'sapid', 'pangram', 'jingo']
722|sapid|['sic', 'ravin', 'jape', 'xeric', 'calx']
723|sapiosexual|['sempiternal', 'saprogenic', 'sidereal', 'asphodel', 'coeval']
724|saprogenic|['sacrosanct', 'laconic', 'apophenia', 'apogee', 'sophomoric']
725|saturnine|['lacustrine', 'maudlin', 'sluice', 'canarding', 'quercine']
726|saudade|['faldage', 'sabrage', 'ululate', 'squail', 'maudlin']
727|scapulimancy|['calumny', 'oscitancy', 'dalliance', 'potvaliancy', 'molybdomancy']
728|scintilla|['scintillating', 'skinkle', 'frangible', 'umbrella', 'peccadillo']
729|scintillating|['scintilla', 'nibling', 'stentorian', 'nihilarian', 'intestate']
730|scripturient|['squittering', 'riparian', 'incipient', 'coiffure', 'scrivener']
731|scrivener|['provender', 'parvenu', 'chicanery', 'seigneur', 'saprogenic']
732|scrupulosity|['scripturient', 'serendipity', 'scapulimancy', 'proclivity', 'propinquity']
733|sedulous|['querulous', 'susurrous', 'obsequious', 'susurrus', 'saeculum']
20|seersucker|['persnickety', 'messuages', 'rockery', 'scrivener', 'beleaguer']
734|seigneur|['scrivener', 'smatter', 'inure', 'burgher', 'sedulous']
735|seigniorage|['seigneur', 'eigengrau', 'lemniscate', 'edulcorate', 'geniocracy']
736|sempiternal|['sidereal', 'tempera', 'ephemeral', 'smatter', 'sapiosexual']
737|seraglio|['imbroglio', 'serein', 'sicario', 'farrago', 'ravin']
738|serein|['xeric', 'suzerain', 'sidereal', 'reify', 'sic']
739|serendipity|['perendinate', 'eremite', 'erudition', 'proclivity', 'felicity']
740|shibboleth|['hiraeth', 'brabble', 'involute', 'skinkle', 'isolato']
741|sic|['sapid', 'puce', 'xeric', 'qua', 'maw']
742|sicario|['seraglio', 'sapid', 'lothario', 'riparian', 'squail']
743|sidereal|['ethereal', 'vernal', 'serein', 'riparian', 'ephemeral']
744|sine qua non|['oblectation', 'supercargo', 'peroration', 'sisyphean', 'cineraria']
745|sinistrodextral|['sapiosexual', 'quintessential', 'sidereal', 'kakistocracy', 'carceral']
746|sisyphean|['dittohead', 'subnivean', 'erythrean', 'sidereal', 'ashlar']
747|sitzkrieg|['sicario', 'psithurism', 'squittering', 'nithered', 'vitrify']
748|skiamachy|['aliteracy', 'tranche', 'oscitancy', 'koalang', 'panacea']
749|skinkle|['slake', 'ripple', 'darkle', 'gruntle', 'inure']
750|skyclad|['koalang', 'knell', 'ashlar', 'ascian', 'kalpa']
751|slake|['fluke', 'sluice', 'snaste', 'ploce', 'ullage']
752|sluice|['slake', 'ploce', 'sic', 'fluke', 'squirl']
753|smatter|['snaste', 'balter', 'mettle', 'slake', 'alastor']
754|snaste|['ananke', 'slake', 'smatter', 'inure', 'anomie']
755|snollygoster|['snaste', 'snowclone', 'lachrymose', 'litotes', 'balter']
756|snowclone|['anodyne', 'aniline', 'snaste', 'sluice', 'limacine']
757|sobriquet|['sabrage', 'sophist', 'tontine', 'claque', 'samizdat']
758|sockdolager|['stridulate', 'peculate', 'skyclad', 'boondoggle', 'saudade']
759|solicitude|['felicitous', 'felicity', 'lassitude', 'coiffure', 'volitant']
760|somnambulant|['lambent', 'koalang', 'aurulent', 'complaisant', 'concomitant']
761|sophism|['sophist', 'sophistry', 'orphic', 'sapid', 'bruxism']
762|sophist|['sophism', 'sophistry', 'sapid', 'orphic', 'tontine']
763|sophistry|['sophist', 'sophism', 'casuistry', 'sophomoric', 'popinjay']
764|sophomoric|['opsomania', 'saprogenic', 'sophistry', 'copacetic', 'oneiric']
765|spandrel|['spanghew', 'panacea', 'asphodel', 'pangram', 'squirl']
766|spanghew|['spandrel', 'pangram', 'panacea', 'spanogyny', 'tranche']
767|spanogyny|['panoply', 'spanghew', 'anodyne', 'paroxysm', 'spandrel']
768|spoonerism|['euhemerism', 'sophism', 'asterism', 'psithurism', 'sui generis']
769|sprachgefühl|['spandrel', 'cacography', 'seraglio', 'plangent', 'spanghew']
770|sprezzatura|['penumbra', 'plethora', 'preux', 'prebuttal', 'prolate']
771|squail|['squirl', 'pugil', 'qua', 'slake', 'sicario']
772|squirl|['squail', 'quiff', 'knurl', 'sluice', 'cairn']
773|squittering|['quisling', 'sitzkrieg', 'squirl', 'scripturient', 'quercine']
774|stellenbosch|['teleonomy', 'bellibone', 'telos', 'teleology', 'vellichor']
775|stendhal syndrome|['teleonomy', 'panjandrum', 'tendentious', 'cephalophore', 'thalassocracy']
776|stentorian|['tellurian', 'temporize', 'temerity', 'scintilla', 'tempera']
777|stridulate|['ululate', 'peculate', 'arcuate', 'prolate', 'etiolated']
778|stultify|['mellify', 'furtive', 'saturnine', 'tontine', 'squirl']
779|subnivean|['furtive', 'augean', 'laodicean', 'sisyphean', 'quean']
780|sui generis|['scrivener', 'orthogenesis', 'spoonerism', 'eigengrau', 'seigneur']
781|sumptuary|['sumptuous', 'voluptuary', 'trumpery', 'smatter', 'supercargo']
782|sumptuous|['sumptuary', 'jumentous', 'susurrous', 'mumpsimus', 'uxorious']
783|supercargo|['suzerain', 'sicario', 'quercine', 'sidereal', 'sabrage']
784|surreptitious|['sumptuous', 'meretricious', 'tendentious', 'jumentous', 'hermeneutics']
785|susurrous|['susurrus', 'sedulous', 'uxorious', 'sumptuous', 'usufruct']
786|susurrus|['susurrous', 'sedulous', 'usufruct', 'muckibus', 'murmur']
787|suzerain|['serein', 'augean', 'quean', 'upbraid', 'quercine']
788|sybaritic|['diacritic', 'dendritic', 'dolorific', 'sicario', 'hamartia']
789|symbiosis|['nemesis', 'miasma', 'albion', 'lachesis', 'sophist']
790|syzygy|['doxy', 'janky', 'sabrage', 'mitty', 'moiety']
791|taedium vitae|['élan vital', 'talisman', 'eremite', 'titivate', 'aestivate']
792|talisman|['bagman', 'timon', 'elision', 'telamon', 'gisant']
793|tarantism|['charientism', 'paracosm', 'agathism', 'tenanted', 'caryatid']
794|tartuffe|['arcuate', 'kerfuffle', 'pastiche', 'parcae', 'hachure']
795|tatterdemalion|['antithalian', 'obtenebration', 'götterdämmerung', 'ethereal', 'jactitation']
796|telamon|['timon', 'telos', 'alazon', 'pluton', 'lagoon']
797|teleology|['teleonomy', 'dysteleology', 'etiology', 'ktenology', 'vexillology']
798|teleonomy|['teleology', 'threnody', 'ktenology', 'aleatory', 'telamon']
799|tellurian|['mercurial', 'stentorian', 'terrior', 'meliorism', 'riparian']
800|telos|['telamon', 'malus', 'timon', 'temul', 'obelus']
801|temerity|['legerity', 'felicity', 'temporize', 'terrior', 'eremite']
802|tempera|['trumpery', 'temul', 'omerta', 'tope', 'torpor']
803|temporize|['temerity', 'tempera', 'torpor', 'vespertine', 'demotic']
804|temul|['ferule', 'demure', 'telos', 'timon', 'gambol']
890|tenanted|['benighted', 'snaste', 'ananke', 'balter', 'tranche']
805|tendentious|['tenebrous', 'jumentous', 'atramentous', 'pendent', 'obsequious']
806|tenebrous|['tendentious', 'teleonomy', 'imperious', 'susurrous', 'teleology']
807|terriculament|['esculent', 'feculent', 'telamon', 'peculate', 'pediment']
808|terrior|['torpor', 'cerise', 'serein', 'vermiform', 'ferrule']
809|tetchy|['mitty', 'poché', 'fetching', 'tranche', 'euchre']
810|thagomizer|['temporize', 'adonize', 'anomie', 'paralogize', 'theophany']
811|thalassocracy|['kakistocracy', 'ochlocracy', 'cleptocracy', 'timocracy', 'alastor']
812|thanatopsis|['thanatosis', 'antanaclasis', 'katabasis', 'aphantasia', 'cacotopia']
813|thanatosis|['thanatopsis', 'aphantasia', 'katabasis', 'antanaclasis', 'gargalesis']
814|theophany|['hierophant', 'epiphany', 'tetchy', 'timocracy', 'monopsony']
815|threnody|['teleonomy', 'prosody', 'horology', 'teleology', 'telos']
816|tidsoptimist|['sophist', 'phlebotomist', 'sophism', 'insouciance', 'aposiopesis']
817|timocracy|['ochlocracy', 'geniocracy', 'moirai', 'cleptocracy', 'kakistocracy']
818|timon|['bijou', 'orison', 'temul', 'telamon', 'telos']
819|tintinnabulation|['obtenebration', 'antanaclasis', 'anaculothon', 'scintillating', 'antithalian']
820|titivate|['ultimate', 'aestivate', 'decimate', 'rusticate', 'arcuate']
821|tontine|['costive', 'porpentine', 'furtive', 'vestige', 'aniline']
822|tope|['jape', 'toska', 'roué', 'lour', 'otiose']
823|torpor|['tosspot', 'terrior', 'tope', 'turbot', 'lour']
824|toska|['tope', 'tulpa', 'telos', 'poché', 'uvula']
825|tosspot|['torpor', 'tussock', 'tope', 'toska', 'turbot']
826|tranche|['parcae', 'louche', 'spanghew', 'tetchy', 'gruntle']
827|trichiliocosm|['benthocosm', 'arietiform', 'aciniform', 'philodox', 'in silico']
828|tricoteuse|['litotes', 'recherce', 'bijouterie', 'solicitude', 'arcturus']
829|trilemma|['analemma', 'polylemma', 'temul', 'telamon', 'verklempt']
830|trumpery|['tempera', 'rockery', 'comely', 'tulpa', 'umwelt']
831|tulpa|['kalpa', 'tope', 'qua', 'abulia', 'telos']
832|tumescent|['canescent', 'evanescent', 'viridescent', 'lambent', 'aurulent']
833|turbot|['argot', 'torpor', 'terrior', 'ort', 'brood']
889|tussock|['turbot', 'putsch', 'lissome', 'elflock', 'tosspot']
834|twitterpated|['titivate', 'intestate', 'nithered', 'addlepated', 'etiolated']
835|uhtcearu|['untoward', 'ultimate', 'dotard', 'wheal', 'corbeau']
836|ullage|['ululate', 'kludge', 'slake', 'faldage', 'claque']
837|ultimate|['titivate', 'decimate', 'rusticate', 'ululate', 'vellicate']
838|ultracrepidarian|['ultracrepidarianism', 'horripilation', 'riparian', 'pareidolia', 'paraprosdokian']
839|ultracrepidarianism|['ultracrepidarian', 'extropianism', 'mithridatism', 'riparian', 'pareidolia']
840|ululate|['ullage', 'uvula', 'peculate', 'prolate', 'ultimate']
841|umbrageous|['pomaceous', 'umbrella', 'uxorious', 'sabrage', 'bilious']
842|umbrella|['umwelt', 'obelus', 'imbue', 'imbroglio', 'upbraid']
843|umwelt|['lambent', 'knell', 'comely', 'lilt', 'omerta']
844|unasinous|['uxorious', 'fugacious', 'mumpsimus', 'invidious', 'niveous']
845|untoward|['uhtcearu', 'dotard', 'ultimate', 'upbraid', 'anorak']
846|upbraid|['brood', 'moirai', 'sabrage', 'suzerain', 'caryatid']
847|uroboros|['ouroboros', 'arcturus', 'droog', 'turbot', 'norns']
848|usufruct|['susurrus', 'essorant', 'susurrous', 'crunt', 'turbot']
849|uvula|['tulpa', 'ululate', 'qua', 'abulia', 'puce']
850|uxorious|['unasinous', 'zoilus', 'imperious', 'bilious', 'fugacious']
851|velleity|['felicity', 'mellify', 'illeism', 'temerity', 'legerity']
852|vellicate|['vellichor', 'lemniscate', 'rusticate', 'decimate', 'bellibone']
853|vellichor|['vellicate', 'petrichor', 'vermiform', 'mellify', 'velleity']
854|verecund|['serein', 'lacuna', 'eremite', 'quercine', 'xeric']
855|verisimilitude|['solicitude', 'desuetude', 'eremite', 'lassitude', 'menticide']
856|verklempt|['ferule', 'darkle', 'verve', 'velleity', 'feckless']
857|vermiform|['aciniform', 'terrior', 'myrmidon', 'arietiform', 'vellichor']
858|vernal|['verve', 'chiral', 'cerise', 'coeval', 'temul']
859|verve|['vernal', 'ferule', 'cerise', 'xeric', 'inure']
860|vespertine|['porpentine', 'vestige', 'quercine', 'serein', 'nepenthe']
861|vestige|['costive', 'masstige', 'tontine', 'cerise', 'pastiche']
862|vexillology|['teleology', 'etiology', 'teleonomy', 'horology', 'ktenology']
863|viridescent|['tumescent', 'canescent', 'evanescent', 'effervescent', 'recrudesce']
864|vitrify|['mitty', 'mellify', 'reify', 'vestige', 'ataraxy']
865|volitant|['gisant', 'mordant', 'covenant', 'dotard', 'mudita']
866|voluptuary|['sumptuary', 'volitant', 'desultory', 'dotard', 'polytely']
867|vorfreude|['ferrule', 'lorgnette', 'coiffure', 'verklempt', 'verve']
868|völkerwanderung|['götterdämmerung', 'verecund', 'quockerwodger', 'provender', 'pendent']
869|waft|['calx', 'lilt', 'oofy', 'maw', 'zaftig']
870|waldeinsamkeit|['illeism', 'denouement', 'malaise', 'faldage', 'lissome']
871|wegotism|['demotic', 'henotheism', 'jingoism', 'agathism', 'meliorism']
872|weltschmerz|['vellichor', 'festschrift', 'alnaschar', 'vellicate', 'seersucker']
873|wheal|['chiral', 'coeval', 'quean', 'knell', 'squail']
874|wherewithal|['eremite', 'wheal', 'ethereal', 'prebuttal', 'legerity']
875|whited sepulchre|['euchre', 'joie de vivre', 'chitosemidori', 'dissemble', 'demure']
876|witwanton|['gisant', 'inanition', 'gonfalon', 'telamon', 'hiraeth']
877|xeric|['cerise', 'verve', 'sic', 'oneiric', 'exoteric']
879|yarborough|['furlough', 'harrow', 'sabrage', 'ouroboros', 'droog']
880|yestreen|['aesthete', 'vestige', 'serein', 'poltroon', 'aestival']
881|zaftig|['waft', 'ravin', 'cafuné', 'vestige', 'balter']
882|zaggle|['darkle', 'lagoon', 'argot', 'bagman', 'apogee']
883|zeugma|['qua', 'uvula', 'pleroma', 'miasma', 'pugil']
884|zoanthropy|['contronym', 'iconotropy', 'monopsony', 'contranym', 'contumely']
885|zoilus|['malus', 'obelus', 'noceur', 'norns', 'ocellus']
886|zugzwang|['augean', 'koalang', 'quean', 'bagman', 'quisling']
887|élan vital|['aestival', 'connubial', 'plangent', 'languor', 'laodicean']
